2026-04-22T00:26:59+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 00:27:59","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:28:03+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:28:43+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 00:29:43","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:30:20+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:31:01+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:31:44+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 00:32:44","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:34:35+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:35:01+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:35:15+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 00:36:15","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:39:27+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T00:40:25+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
